"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","203","Пользователь не может зарегистрироваться в системе без Email","chromium","Sat Dec 21 10:09:37 GMT 2024","passed","Sat Dec 21 10:09:37 GMT 2024","API тесты","api.spec.js","",""
"","186","Пользователь не может зарегистрироваться в системе без Name","chromium","Sat Dec 21 10:09:37 GMT 2024","passed","Sat Dec 21 10:09:38 GMT 2024","API тесты","api.spec.js","",""
"","1506","Тест на поиск","chromium","Sat Dec 21 10:09:38 GMT 2024","passed","Sat Dec 21 10:09:40 GMT 2024","E2E тесты","e2e.spec.js","",""
"","198","Пользователь не может зарегистрироваться в системе без Password","chromium","Sat Dec 21 10:09:38 GMT 2024","passed","Sat Dec 21 10:09:38 GMT 2024","API тесты","api.spec.js","",""
"","2491","Тест на авторизацию","chromium","Sat Dec 21 10:09:43 GMT 2024","passed","Sat Dec 21 10:09:46 GMT 2024","E2E тесты","e2e.spec.js","",""
"","3393","Тест на регистрацию","chromium","Sat Dec 21 10:09:40 GMT 2024","passed","Sat Dec 21 10:09:43 GMT 2024","E2E тесты","e2e.spec.js","",""
"","236","Пользователь может создать новую компанию","chromium","Sat Dec 21 10:09:38 GMT 2024","passed","Sat Dec 21 10:09:38 GMT 2024","API тесты","api.spec.js","",""
"","1811","Нельзя залогиниться незарегистрированным пользователем","chromium","Sat Dec 21 10:09:49 GMT 2024","passed","Sat Dec 21 10:09:51 GMT 2024","E2E тесты","e2e.spec.js","",""
"","819","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Sat Dec 21 10:09:36 GMT 2024","passed","Sat Dec 21 10:09:37 GMT 2024","API тесты","api.spec.js","",""
"","3157","Тест на логаут","chromium","Sat Dec 21 10:09:46 GMT 2024","passed","Sat Dec 21 10:09:49 GMT 2024","E2E тесты","e2e.spec.js","",""
